"date","CPIAUCSL","CPILFESL","PCEPI"
1947-01-01,21.48,NA,NA
1947-02-01,21.62,NA,NA
1947-03-01,22,NA,NA
1947-04-01,22,NA,NA
1947-05-01,21.95,NA,NA
1947-06-01,22.08,NA,NA
1947-07-01,22.23,NA,NA
1947-08-01,22.4,NA,NA
1947-09-01,22.84,NA,NA
1947-10-01,22.91,NA,NA
1947-11-01,23.06,NA,NA
1947-12-01,23.41,NA,NA
1948-01-01,23.68,NA,NA
1948-02-01,23.67,NA,NA
1948-03-01,23.5,NA,NA
1948-04-01,23.82,NA,NA
1948-05-01,24.01,NA,NA
1948-06-01,24.15,NA,NA
1948-07-01,24.4,NA,NA
1948-08-01,24.43,NA,NA
1948-09-01,24.36,NA,NA
1948-10-01,24.31,NA,NA
1948-11-01,24.16,NA,NA
1948-12-01,24.05,NA,NA
1949-01-01,24.01,NA,NA
1949-02-01,23.91,NA,NA
1949-03-01,23.91,NA,NA
1949-04-01,23.92,NA,NA
1949-05-01,23.91,NA,NA
1949-06-01,23.92,NA,NA
1949-07-01,23.7,NA,NA
1949-08-01,23.7,NA,NA
1949-09-01,23.75,NA,NA
1949-10-01,23.67,NA,NA
1949-11-01,23.7,NA,NA
1949-12-01,23.61,NA,NA
1950-01-01,23.51,NA,NA
1950-02-01,23.61,NA,NA
1950-03-01,23.64,NA,NA
1950-04-01,23.65,NA,NA
1950-05-01,23.77,NA,NA
1950-06-01,23.88,NA,NA
1950-07-01,24.07,NA,NA
1950-08-01,24.2,NA,NA
1950-09-01,24.34,NA,NA
1950-10-01,24.5,NA,NA
1950-11-01,24.6,NA,NA
1950-12-01,24.98,NA,NA
1951-01-01,25.38,NA,NA
1951-02-01,25.83,NA,NA
1951-03-01,25.88,NA,NA
1951-04-01,25.92,NA,NA
1951-05-01,25.99,NA,NA
1951-06-01,25.93,NA,NA
1951-07-01,25.91,NA,NA
1951-08-01,25.86,NA,NA
1951-09-01,26.03,NA,NA
1951-10-01,26.16,NA,NA
1951-11-01,26.32,NA,NA
1951-12-01,26.47,NA,NA
1952-01-01,26.45,NA,NA
1952-02-01,26.41,NA,NA
1952-03-01,26.39,NA,NA
1952-04-01,26.46,NA,NA
1952-05-01,26.47,NA,NA
1952-06-01,26.53,NA,NA
1952-07-01,26.68,NA,NA
1952-08-01,26.69,NA,NA
1952-09-01,26.63,NA,NA
1952-10-01,26.69,NA,NA
1952-11-01,26.69,NA,NA
1952-12-01,26.71,NA,NA
1953-01-01,26.64,NA,NA
1953-02-01,26.59,NA,NA
1953-03-01,26.63,NA,NA
1953-04-01,26.69,NA,NA
1953-05-01,26.7,NA,NA
1953-06-01,26.77,NA,NA
1953-07-01,26.79,NA,NA
1953-08-01,26.85,NA,NA
1953-09-01,26.89,NA,NA
1953-10-01,26.95,NA,NA
1953-11-01,26.85,NA,NA
1953-12-01,26.87,NA,NA
1954-01-01,26.94,NA,NA
1954-02-01,26.99,NA,NA
1954-03-01,26.93,NA,NA
1954-04-01,26.86,NA,NA
1954-05-01,26.93,NA,NA
1954-06-01,26.94,NA,NA
1954-07-01,26.86,NA,NA
1954-08-01,26.85,NA,NA
1954-09-01,26.81,NA,NA
1954-10-01,26.72,NA,NA
1954-11-01,26.78,NA,NA
1954-12-01,26.77,NA,NA
1955-01-01,26.77,NA,NA
1955-02-01,26.82,NA,NA
1955-03-01,26.79,NA,NA
1955-04-01,26.79,NA,NA
1955-05-01,26.77,NA,NA
1955-06-01,26.71,NA,NA
1955-07-01,26.76,NA,NA
1955-08-01,26.72,NA,NA
1955-09-01,26.85,NA,NA
1955-10-01,26.82,NA,NA
1955-11-01,26.88,NA,NA
1955-12-01,26.87,NA,NA
1956-01-01,26.83,NA,NA
1956-02-01,26.86,NA,NA
1956-03-01,26.89,NA,NA
1956-04-01,26.93,NA,NA
1956-05-01,27.03,NA,NA
1956-06-01,27.15,NA,NA
1956-07-01,27.29,NA,NA
1956-08-01,27.31,NA,NA
1956-09-01,27.35,NA,NA
1956-10-01,27.51,NA,NA
1956-11-01,27.51,NA,NA
1956-12-01,27.63,NA,NA
1957-01-01,27.67,28.5,NA
1957-02-01,27.8,28.6,NA
1957-03-01,27.86,28.7,NA
1957-04-01,27.93,28.8,NA
1957-05-01,28,28.8,NA
1957-06-01,28.11,28.9,NA
1957-07-01,28.19,29,NA
1957-08-01,28.28,29,NA
1957-09-01,28.32,29.1,NA
1957-10-01,28.32,29.2,NA
1957-11-01,28.41,29.3,NA
1957-12-01,28.47,29.3,NA
1958-01-01,28.64,29.3,NA
1958-02-01,28.7,29.4,NA
1958-03-01,28.87,29.5,NA
1958-04-01,28.94,29.5,NA
1958-05-01,28.94,29.5,NA
1958-06-01,28.91,29.6,NA
1958-07-01,28.89,29.6,NA
1958-08-01,28.94,29.6,NA
1958-09-01,28.91,29.7,NA
1958-10-01,28.91,29.7,NA
1958-11-01,28.95,29.8,NA
1958-12-01,28.97,29.9,NA
1959-01-01,29.01,29.9,16.042
1959-02-01,29,29.9,16.057
1959-03-01,28.97,30,16.068
1959-04-01,28.98,30,16.1
1959-05-01,29.04,30.1,16.109
1959-06-01,29.11,30.2,16.155
1959-07-01,29.15,30.2,16.189
1959-08-01,29.18,30.2,16.212
1959-09-01,29.25,30.3,16.255
1959-10-01,29.35,30.4,16.294
1959-11-01,29.35,30.4,16.304
1959-12-01,29.41,30.5,16.323
1960-01-01,29.37,30.5,16.314
1960-02-01,29.41,30.6,16.331
1960-03-01,29.41,30.6,16.34
1960-04-01,29.54,30.6,16.4
1960-05-01,29.57,30.6,16.417
1960-06-01,29.61,30.7,16.424
1960-07-01,29.55,30.6,16.453
1960-08-01,29.61,30.6,16.481
1960-09-01,29.61,30.6,16.491
1960-10-01,29.75,30.8,16.51
1960-11-01,29.78,30.8,16.565
1960-12-01,29.81,30.7,16.569
1961-01-01,29.84,30.8,16.571
1961-02-01,29.84,30.8,16.587
1961-03-01,29.84,30.9,16.578
1961-04-01,29.81,30.9,16.568
1961-05-01,29.84,30.9,16.577
1961-06-01,29.84,31,16.585
1961-07-01,29.92,31,16.621
1961-08-01,29.94,31.1,16.635
1961-09-01,29.98,31.1,16.654
1961-10-01,29.98,31.1,16.652
1961-11-01,29.98,31.2,16.653
1961-12-01,30.01,31.2,16.658
1962-01-01,30.04,31.2,16.689
1962-02-01,30.11,31.2,16.734
1962-03-01,30.17,31.3,16.756
1962-04-01,30.21,31.3,16.775
1962-05-01,30.24,31.4,16.786
1962-06-01,30.21,31.4,16.796
1962-07-01,30.22,31.4,16.787
1962-08-01,30.28,31.5,16.811
1962-09-01,30.42,31.5,16.894
1962-10-01,30.38,31.5,16.876
1962-11-01,30.38,31.5,16.889
1962-12-01,30.38,31.6,16.882
1963-01-01,30.44,31.5,16.923
1963-02-01,30.48,31.6,16.941
1963-03-01,30.51,31.7,16.928
1963-04-01,30.48,31.7,16.927
1963-05-01,30.51,31.7,16.954
1963-06-01,30.61,31.8,16.991
1963-07-01,30.69,31.8,17.025
1963-08-01,30.75,31.9,17.048
1963-09-01,30.72,31.9,17.044
1963-10-01,30.75,32,17.078
1963-11-01,30.78,32,17.102
1963-12-01,30.88,32.1,17.127
1964-01-01,30.94,32.2,17.163
1964-02-01,30.91,32.2,17.188
1964-03-01,30.94,32.2,17.198
1964-04-01,30.95,32.2,17.211
1964-05-01,30.98,32.2,17.213
1964-06-01,31.01,32.3,17.237
1964-07-01,31.02,32.3,17.259
1964-08-01,31.05,32.3,17.273
1964-09-01,31.08,32.3,17.299
1964-10-01,31.12,32.4,17.31
1964-11-01,31.21,32.5,17.334
1964-12-01,31.25,32.5,17.359
1965-01-01,31.28,32.6,17.378
1965-02-01,31.28,32.6,17.385
1965-03-01,31.31,32.6,17.408
1965-04-01,31.38,32.7,17.435
1965-05-01,31.48,32.7,17.474
1965-06-01,31.61,32.7,17.525
1965-07-01,31.58,32.7,17.538
1965-08-01,31.55,32.7,17.542
1965-09-01,31.62,32.8,17.55
1965-10-01,31.65,32.8,17.556
1965-11-01,31.75,32.9,17.585
1965-12-01,31.85,33,17.649
1966-01-01,31.88,33,17.67
1966-02-01,32.08,33.1,17.743
1966-03-01,32.18,33.1,17.786
1966-04-01,32.28,33.3,17.848
1966-05-01,32.35,33.4,17.87
1966-06-01,32.38,33.5,17.915
1966-07-01,32.45,33.6,17.949
1966-08-01,32.65,33.7,18.018
1966-09-01,32.75,33.8,18.075
1966-10-01,32.85,34,18.123
1966-11-01,32.88,34,18.15
1966-12-01,32.92,34.1,18.187
1967-01-01,32.9,34.2,18.188
1967-02-01,33,34.2,18.209
1967-03-01,33,34.3,18.22
1967-04-01,33.1,34.4,18.249
1967-05-01,33.1,34.5,18.285
1967-06-01,33.3,34.6,18.343
